UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
1	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	332
227	337
26	4
1	43
152	0
27	0
0	723
806	723
0	198
151	200
0	198
110	0
445	0
0	1
0	1
143	4654
61	4701
1	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
13	305
9	305
89	69
2	46
1365	4
42	65
0	65
130	0
25	571
4	571
21	52
0	52
11	108
0	21
1	103
15	1058
1	185
205	0
3	0
59	0
671	0
1410	263
0	257
2	57
0	57
1	193
1149	122
128	163
331	633
3	9
0	624
3	9
0	3
0	3
77	30
0	4
0	30
2	1788
455	1214
0	1473
0	748
1	872
1020	1631
0	1631
0	0
0	2
0	2
0	349
110	349
0	229
0	209
108	80
14	80
1908	0
1	0
16	0
63	0
0	3
74	3
0	0
0	0
0	110
4	110
0	49
0	46
0	12
13	0
0	8
0	0
0	6
0	3
2107	0
4	32
0	18
0	32
0	66
66	66
0	0
0	0
0	0
8	0
0	74
87	96
0	96
11	5
125	0
3	25
104	35
0	26
262	24
0	24
2	51
0	38
175	57
0	1
9	1
0	0
202	70
4	69
650	0
116	0
0	2
0	2
177	0
8	219
0	711
0	217
0	715
2	227
3	87
3	122
199	122
0	3
1	22
0	22
0	638
0	636
0	665
146	205
1	130
0	406
0	379
0	390
28	94
0	94
0	305
468	305
16	0
1	33
0	2
0	33
0	5
0	0
3	0
98	102
288	102
0	1
0	0
30	136
26	136
1166	0
333	0
25	0
0	19
31	19
0	6
6	9
0	33
524	39
0	135
0	91
988	220
0	91
22	499
297	499
559	0
18	2302
140	2302
