UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
1	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	529
491	535
53	18
5	59
165	0
25	0
0	465
407	465
0	153
119	154
0	154
119	0
374	0
2	5
0	5
123	4090
88	4106
4	0
7	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	9
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	13
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	13
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	4
1	13
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
16	316
9	316
52	44
1	30
1148	5
39	75
0	75
127	0
20	511
6	511
26	49
0	49
7	47
0	10
0	44
13	981
1	179
218	0
0	0
32	0
531	0
1457	325
0	320
1	58
1	58
4	151
1048	102
116	137
263	455
2	6
0	449
0	5
0	1
0	4
76	25
1	7
0	25
0	1659
340	1058
0	1379
0	636
0	798
966	1547
0	1547
1	0
0	0
0	0
0	310
84	310
0	338
0	313
103	70
10	70
1769	1
2	0
21	0
86	0
0	2
46	2
0	0
0	0
2	101
5	101
0	37
0	32
2	10
8	0
1	7
0	1
0	7
1	2
1504	0
3	24
0	14
0	24
0	53
48	53
0	0
0	0
0	0
5	0
0	63
79	102
0	102
9	2
111	0
3	14
90	35
0	26
234	29
0	29
1	27
0	22
166	30
0	1
12	1
0	0
161	75
7	74
593	0
100	0
0	0
0	0
132	0
7	172
0	548
0	166
0	554
1	175
1	74
0	141
202	141
0	4
2	32
0	32
0	538
0	539
0	565
119	213
0	163
0	448
0	400
0	422
18	73
2	73
0	155
234	155
13	0
1	24
0	1
0	24
0	1
0	0
2	0
85	104
288	104
0	1
0	1
23	113
27	113
969	0
236	0
50	1
0	30
29	30
4	4
0	4
0	30
498	34
0	148
0	99
1044	247
0	99
19	528
269	528
406	0
20	2069
88	2069
0	16
