UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	164
140	164
15	4
0	33
101	0
30	0
0	419
353	419
0	238
143	241
0	241
121	0
467	0
0	0
0	0
133	4521
54	4537
0	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
5	272
10	272
92	73
4	62
1186	6
20	67
0	67
77	0
34	808
8	808
26	66
0	66
4	36
0	4
0	34
2	1567
0	285
185	0
3	0
36	0
784	0
1907	299
0	295
0	45
0	45
4	205
1094	149
126	186
316	544
1	8
0	536
0	3
0	1
0	2
54	17
0	3
0	17
1	1951
259	1120
0	1688
0	729
0	1260
1629	2438
0	2438
1	0
0	0
0	0
0	375
114	375
1	327
0	314
131	98
12	98
2420	0
0	0
14	0
36	0
0	1
54	1
0	0
0	0
0	99
3	99
0	39
0	36
0	6
10	0
0	5
0	0
1	4
0	2
2214	0
2	41
0	21
0	41
0	43
42	43
0	0
0	0
0	0
3	0
0	91
60	88
0	88
13	2
135	1
2	25
117	38
0	30
268	29
0	29
0	41
0	39
211	47
0	1
12	1
0	0
233	72
5	71
684	0
76	0
0	0
0	0
171	0
9	203
0	643
0	193
0	648
2	213
4	68
2	111
162	111
0	4
1	35
0	35
0	650
0	648
0	688
133	250
0	168
0	537
0	493
0	519
39	103
0	103
0	165
240	165
15	0
0	15
0	2
2	15
0	2
0	0
1	0
147	107
344	107
0	1
0	1
21	125
33	125
1133	0
279	0
2	1
0	7
14	7
0	8
0	8
0	24
598	32
0	122
0	79
576	198
0	79
22	460
242	460
675	0
20	2981
178	2981
